Date,Si,Volume,Open,High,Low
09/25/2023,1.3477,N/A,1.3454,1.348,1.3449
09/24/2023,1.3487,N/A,1.3483,1.3491,1.347
09/22/2023,1.3483,N/A,1.3483,1.3492,1.3424
09/21/2023,1.3466,N/A,1.3483,1.3486,1.346
09/20/2023,1.3491,N/A,1.346,1.3501,1.3453
09/19/2023,1.3463,N/A,1.3448,1.3465,1.3442
09/18/2023,1.3478,N/A,1.3485,1.3491,1.3477
09/17/2023,1.3518,N/A,1.3523,1.3529,1.3513
09/15/2023,1.3524,N/A,1.3508,1.355,1.3494
09/14/2023,1.3502,N/A,1.3508,1.3518,1.3497
09/13/2023,1.3536,N/A,1.3546,1.3556,1.3531
09/12/2023,1.3563,N/A,1.3553,1.3567,1.3548
09/11/2023,1.3573,N/A,1.357,1.3594,1.357
09/10/2023,1.3622,N/A,1.364,1.364,1.3618
09/08/2023,1.364,N/A,1.3681,1.369,1.3608
09/07/2023,1.3668,N/A,1.3681,1.369,1.3666
09/06/2023,1.3643,N/A,1.3635,1.3651,1.3635
09/05/2023,1.3643,N/A,1.3643,1.3657,1.3632
09/04/2023,1.3615,N/A,1.359,1.3618,1.3587
09/03/2023,1.3586,N/A,1.3594,1.3601,1.3584
09/01/2023,1.3595,N/A,1.3507,1.3614,1.349
08/31/2023,1.3512,N/A,1.3507,1.3518,1.349
08/30/2023,1.3539,N/A,1.3531,1.3541,1.3521
08/29/2023,1.3565,N/A,1.3553,1.3574,1.3552
08/28/2023,1.359,N/A,1.3597,1.3606,1.3587
08/27/2023,1.3592,N/A,1.3602,1.3601,1.3584
08/25/2023,1.3606,N/A,1.3579,1.364,1.3569
08/24/2023,1.3601,N/A,1.3579,1.3601,1.3578
08/23/2023,1.352,N/A,1.3525,1.3533,1.3514
08/22/2023,1.354,N/A,1.355,1.3556,1.3533
08/21/2023,1.354,N/A,1.3543,1.3555,1.3535
08/20/2023,1.3546,N/A,1.3546,1.3555,1.3535
08/18/2023,1.3552,N/A,1.3545,1.3575,1.3525
08/17/2023,1.3546,N/A,1.3545,1.3549,1.3525
08/16/2023,1.3536,N/A,1.3535,1.3553,1.3522
08/15/2023,1.35,N/A,1.3497,1.3511,1.349
08/14/2023,1.3445,N/A,1.3459,1.3471,1.3442
08/13/2023,1.3466,N/A,1.3438,1.347,1.3438
08/11/2023,1.3447,N/A,1.3445,1.3466,1.3412
08/10/2023,1.3442,N/A,1.3445,1.345,1.3427
08/09/2023,1.3413,N/A,1.3418,1.3427,1.3408
08/08/2023,1.342,N/A,1.342,1.3431,1.3411
08/07/2023,1.3392,N/A,1.3367,1.3399,1.3365
08/06/2023,1.3373,N/A,1.3373,1.3385,1.3368
08/04/2023,1.3384,N/A,1.335,1.3395,1.3319
08/03/2023,1.335,N/A,1.335,1.3362,1.3335
08/02/2023,1.3355,N/A,1.3348,1.3356,1.3334
08/01/2023,1.3291,N/A,1.3279,1.3297,1.3266
07/31/2023,1.3221,N/A,1.3187,1.3223,1.3184
07/30/2023,1.3251,N/A,1.3253,1.3262,1.3238
07/28/2023,1.3253,N/A,1.3225,1.3253,1.3202
